WKN;ARIVA_NAME;UNTERNEHMENSPROFIL
520160;berentzen_gruppe_st-aktie;Die Berentzen-Gruppe Aktiengesellschaft produziert und vertreibt Spirituosen und alkoholfreie Getränke für den Lebensmitteleinzelhandel und das Gastgewerbe in Deutschland, dem übrigen Europa und international. Sie ist in drei Segmenten tätig: Spirituosen, alkoholfreie Getränke und Frischsaftsysteme. Das Unternehmen bietet alkoholfreie Getränke, darunter Mineralwasser, Limonaden, Cola, Mate- und Energy-Drinks, Spirituosen, Fruchtpressen und Entsafter sowie Abfüllanlagen und Orangen. Das Unternehmen vermarktet, vertreibt und verkauft seine Produkte unter den Marken Berentzen, Puschkin, Tres Países, Strothmann Original, Doornkaat, Bommerlunder Aquavit, Echt Stonsdorfer, Hansen Rum, Springer Urvater, POLAR, Dirty Harry, Pabst & Richarz, Cider, MIO MIO, Kräuterbraut, Emsland Quelle, Emsland Sonne, Märkisch Kristall, Vivaris Sport, Sankt Ansgari, Quixx Energy, Sinalco, Citrocasa, Frutas Naturales, und andere Marken. Darüber hinaus bietet das Unternehmen Spirituosen für Markenhändler und Eigenmarken an. Das Unternehmen wurde 1758 gegründet und hat seinen Hauptsitz in Haselünne, Deutschland.
696800;progress_werk_oberkirch-aktie;Die Progress-Werk Oberkirch AG beschäftigt sich mit der Entwicklung und Produktion von Metallkomponenten und Subsystemen für die Mobilitätsindustrie in Deutschland, Tschechien, Kanada, Mexiko, Hog Kong und China. Das Unternehmen bietet mechanische Komponenten für elektrische und elektronische Anwendungen, wie Motorgehäuse, Rotorgehäuse und Abdeckungen für elektronische Steuergeräte. Darüber hinaus bietet das Unternehmen Sicherheitskomponenten für Airbags und Sitze sowie Gehäuse für Lenkradaufhängungen und Strukturkomponenten und Subsysteme für Karosserie und Fahrwerk, bestehend aus Karosserieteilen, Instrumententafelträgern und Luftfedertöpfen. Die Progress-Werk Oberkirch AG wurde 1919 gegründet und hat ihren Hauptsitz in Oberkirch, Deutschland.
576790;fernheizwerk_neukoelln-aktie;Die Fernheizwerk Neukölln AG ist der lokale Wärmeversorger für den Berliner Bezirk Neukölln. Die Geschäftstätigkeit im heutigen zentralen Standort, dem Heizwerk Weigandufer, begann bereits im Jahr 1908. 1988 erfolgte die Umwandlung in eine AG. Das Fernheizwerk Neukölln erzeugt Wärme für insgesamt 40.000 Haushalte sowie Geschäftskunden. Weitere Kernbereiche des Unternehmens sind der Handel mit Rohstoffen, Energien, Wirtschaftsgütern und Dienstleistungen. Ein weiteres Geschäftssegment besteht aus der Vermietung von Gewerbeimmobilien (Büros) am Standort Neukölln. Copyright 2021 facunda financial data GmbH
A1A6WE;doccheck-aktie;Die DocCheck AG bietet Marketing-, Customer Relationship Management- und E-Commerce-Dienstleistungen für den Gesundheitssektor in Europa an. Das Unternehmen betreibt das DocCheck-Portal für den Informationsaustausch im Internet sowie Online- und E-Commerce-Services für Akteure im Gesundheitsmarkt. Darüber hinaus entwickelt und implementiert es Kommunikationsstrategien für Medien im Gesundheitswesen und im Business-to-Business-Sektor und fördert Startups im Gesundheitswesen durch Seed-Finanzierung. Das Unternehmen hat seinen Sitz in Köln, Deutschland.
518160;weng_fine_art-aktie;Kein Unternehmensprofil vorhanden.
A1XEY8;rm_education-aktie;RM plc liefert Produkte, Dienstleistungen und Lösungen für den Bildungsmarkt im Vereinigten Königreich und international. Das Unternehmen ist in drei Abteilungen tätig: RM Resources, RM Assessment und RM Technology. Der Geschäftsbereich RM Resources bietet Lehrmittel und Bildungsbedarf für Schulen und Kindergärten über den Direktvertrieb, das Internet und den Direktkatalog an. Der Geschäftsbereich RM Assessment bietet IT-Software und End-to-End-Digital-Assessment-Services für die Online-Prüfungsbewertung, Online-Tests und die Verwaltung und Analyse von Bildungsdaten. Die Software hilft den Kunden, die Einführung digitaler Verfahren zu beschleunigen und die Bewertung in den Bereichen Praxis, Fortschritt, Nachweiserhebung und Prüfungen zu transformieren, um Vorteile für das Lehren und Lernen zu erzielen. Der Geschäftsbereich RM Technology bietet IT-Dienstleistungen für Schulen und Hochschulen an, um eine Technologieumgebung zu schaffen, die die Lernergebnisse verbessert. Dieser Bereich bietet IT-Outsourcing-Dienstleistungen, Cloud-basierte Produkte und digitale Plattformen an. RM plc wurde 1973 gegründet und hat seinen Hauptsitz in Abingdon, Vereinigtes Königreich.
721890;schwaelbchen_molkerei_jakob_berz-aktie;Schwälbchen Molkerei Jakob Berz AG ist ein Anbieter von verschiedenen Milchprodukten wie beispielsweise Joghurt, saure Sahne, Quark, Creme Fraiche, Milch-Mixgetränke, Kaffeeprodukte der Marke Caffreddo sowie von frischer und haltbarer Milch unter der Marke Schwälbchen. Die Produkte werden überregional vermarktet. Ein Vertriebs- und Marketingschwerpunkt ist die „Grüne Linie“ mit dem Fokus auf Biolebensmitteln und Nachhaltigkeit. Neben der Etablierung der Kaffeemarke Caffreddo ist die Molkerei mit dem Schwälbchen Frischdienst, der unter anderem als Vertriebspartner exklusiver Eissorten wie Langnese und Ben & Jerry’s fungiert, sowie der Nachhaltigkeitsinitiative „Nähe ist gut“ am Markt präsent. Copyright 2021 facunda financial data GmbH
A0MZ4B;delignit-aktie;Die Delignit AG entwickelt, produziert und vertreibt mit ihren Tochtergesellschaften ökologische und laubholzbasierte Werkstoffe und Systemlösungen auf Basis des natürlichen, nachwachsenden und CO2-neutralen Rohstoffs Holz in Deutschland. Darüber hinaus produziert und vertreibt das Unternehmen Laderaumschutz- und Sicherheitssysteme für leichte Kraftfahrzeuge an Erstausrüster und Nachrüster in Form von Laderaumböden, -wänden und -trennwänden, Schranksystemen für Wohnmobile sowie Kofferraumabdeckungen für Pkw. Darüber hinaus bietet das Unternehmen Bodenlösungen für Automobilwerke sowie für Warenverteilzentren und Buchenmultiplexsortimente, hoch- und mittelverdichtete Werkstoffe, die im Anlagen-, Maschinen- und Transformatorenbau zum Einsatz kommen, und fertigt Schienenfahrzeuge mit Bodensystemlösungen für Brandschutz- und Schallschutzkonzepte sowie Spezialprodukte für den Modellbau, Musikinstrumente und Sportgeräte. Das Unternehmen bietet seine Produkte und Lösungen unter den Markennamen Delignit, VANYCARE, Carbonwood, Dunacore, Feinholz, Festholz und Panzerholz an. Die Delignit AG wurde im Jahr 1799 gegründet und hat ihren Sitz in Blomberg, Deutschland.
A0KD0F;muehlhan-aktie;Die Muehlhan AG bietet zusammen mit ihren Tochtergesellschaften weltweit Oberflächenschutz und Industriedienstleistungen an. Das Geschäftsfeld Erneuerbare Energien bietet dem Markt für erneuerbare Energien vor allem Oberflächenschutz für Windenergieanlagen und Umspannplattformen in Offshore- und Onshore-Windparks an und übernimmt Installations- und andere Dienstleistungen. Das Segment Schiffe bietet eine Reihe von Instandhaltungs- und Renovierungsdienstleistungen für Oberflächenbeschichtungen an, wie z. B. Reparaturarbeiten an Außenwänden und Isolierungsarbeiten an neuen Schiffen sowie die Sanierung von Wasser-, Ballast-, Kraftstoff- und Ladetanks für Reedereien und Werften. Das Segment Bau/Infrastruktur bietet Beschichtungslösungen für Stahl- und Betonkonstruktionen, Gerüstbaulösungen für den Hoch- und Tiefbau, Brückenneubauten und -sanierungen, Schleusen, Wasserversorgungs- und Verkehrsinfrastrukturprojekte sowie Spezialmaschinen und passiven Brandschutz, der bei großen Stahlkonstruktionen wie Flughäfen, Brücken, Wolkenkratzern und Industriegebäuden eingesetzt wird. Das Segment Oil & Gas bietet Oberflächen- und Brandschutz, Isolierung und Gerüstbau als Partner für Unternehmen der Offshore-Öl- und Gasindustrie sowie der Petrochemie. Darüber hinaus bietet das Unternehmen Dienstleistungen in den Bereichen Steigtechnik, Trainingsprogramme und -kurse, Engineering und Inspektion sowie Stahlbau für Werften und Industrie-/Infrastrukturkunden an. Die Muehlhan AG wurde 1881 gegründet und hat ihren Hauptsitz in Hamburg, Deutschland.
558000;dierig_holding-aktie;Die Dierig Holding AG ist im Textilgeschäft in Deutschland und international tätig. Das Unternehmen bietet Roh- und Fertiggewebe sowie Textilien für Hotels, Krankenhäuser und Pflegeeinrichtungen an. Das Unternehmen produziert auch Bettwäsche unter den Marken Fleuresse und Kaeppel. Darüber hinaus ist das Unternehmen in der Vermietung und Entwicklung von Immobilien tätig. Das Unternehmen wurde 1805 gegründet und hat seinen Sitz in Augsburg, Deutschland. Die Dierig Holding AG ist eine Tochtergesellschaft der Textil-Treuhand GmbH.
A1W9NS;ferratum-aktie;Die Multitude SE bietet zusammen mit ihren Tochtergesellschaften mobiles Banking sowie digitale Verbraucher- und Kleinkredite für Privat- und Geschäftskunden an. Das Kreditportfolio besteht aus Mikrokrediten, PlusLoans, Primeloan und revolvierenden Krediten sowie Betriebsmittel-Ratenkrediten und Einkaufsfinanzierung. Darüber hinaus bietet das Unternehmen Girokonten, Spar- und Termineinlagen, Debitkarten sowie Zahlungen und Überweisungen an. Das Unternehmen ist in Nordeuropa, Westeuropa, Osteuropa und international tätig. Das Unternehmen war früher unter dem Namen Ferratum Oyj bekannt und änderte im Juni 2021 seinen Namen in Multitude SE. Multitude SE wurde im Jahr 2005 gegründet und hat seinen Hauptsitz in Helsinki, Finnland.
A2AAE2;sbf-aktie;Die SBF AG und ihre Beteiligungen sind im Mobilitätssektor, insbesondere der Schienenfahrzeugindustrie tätig. Die SBF AG fungiert hierbei als geschäftsleitende Holdinggesellschaft. Der operative Geschäftsbereich wird durch die Tochtergesellschaft SBF Spezialleuchten GmbH betrieben. Die SBF Spezialleuchten GmbH ist ein internationaler Systemanbieter für Decken-, Beleuchtungs- und Belüftungssysteme für Schienenfahrzeuge. Das Unternehmen hat sich dabei auf LED-Systeme für den Außen- und Innenbereich von Schienenfahrzeugen jeglicher Bauart spezialisiert. Das Leistungsspektrum erstreckt sich von Front- und Trittstufenbeleuchtungen im Exterieur über Lichtbänder in Deckensystemen und Leseleuchten im Interieur. Ein starker Fokus in der Entwicklung liegt auf dem neuen Trend, mittels Applikationen den Kundennutzen deutlich zu erhöhen. Die SBF Spezialleuchten bietet ihren Kunden maßgeschneiderte Lösungen aus einer Hand und deckt dabei die gesamte Wertschöpfungskette von der Konzeption über die Konstruktion bis hin zur Fertigung ab. Copyright 2021 facunda financial data GmbH
577410;fortec_elektronik-aktie;Die FORTEC Elektronik AG ist ein deutscher und internationaler Anbieter von Komponenten und Systemen in den Bereichen Displaytechnik, Embedded Systems und Stromversorgungen. Das Unternehmen ist in zwei Segmenten tätig, Datenvisualisierung und Stromversorgungen. Das Segment Datenvisualisierung bietet Standard-Kits und Support-Services zu Produktlösungen mit Zugang zu selbst entwickelten TFT-Controller- und Ansteuerungslösungen sowie die Generierung von Optical Bonding Technologie. Das Segment Stromversorgungen bietet Stromversorgungen und DC/DC-Wandler an. Die Fortec Elektronik AG wurde 1984 gegründet und hat ihren Sitz in Germering, Deutschland.
677550;nordwest_handel-aktie;Die NORDWEST Handel AG ist ein deutsches Unternehmen, das im Bereich des Produktionsverbindungshandels agiert. Als eines der größten Verbundunternehmen des deutschen Produktionsverbindungshandels (PVH) fungiert der Konzern als Bindeglied zwischen Fachgroßhandel und Industrie für die Branchen Beschläge/Bauelemente, Sanitär/Heizung/Tiefbau, Stahl/Eisenwahren und Werkzeuge/Werkstatt- und Industriebedarf/Arbeitsschutz. Die NORDWEST Handel AG versteht sich selbst als Dienstleister und Back-Office und bietet seinen Mitgliedsunternehmen neben umfassenden Serviceleistungen auch günstige Einkaufskonditionen. Um die Serviceleistungen branchengenau anbieten zu können, kooperiert das Unternehmen mit zahlreichen Fachhandelspartnern in ganz Europa. Die angebotenen Services erstrecken sich über die Bereiche Vertrieb, Vertriebskonzepte, E-Business, Logistik und Finanzen. In Zusammenarbeit mit Tochterfirmen und anderen Beteiligungen ist der Konzern bestrebt, in allen Geschäftsbereichen kundenorientierte Lösungen anzubieten. Hierzu gehört z.B. die e-direct Datenservice GmbH, deren Aufgabe in der Aufbereitung und Bereitstellung von artikelbezogenen Daten liegt. Copyright 2021 facunda financial data GmbH
522877;orbis-aktie;Die Orbis SE ist ein international tätiges Beratungsunternehmen, das auf die Branchen Industrie, Automotive, Konsumgüter und Handel ausgerichtet ist. Die Kernkompetenzen liegen in der Beratung von kundenorientierten Unternehmensprozessen (Costumer Relationship Management - CRM), unternehmensinternen Prozessen (Enterprise Resource Planning - ERP und Product Lifestyle Management - PLM) und von lieferantenorientierten Unternehmensprozessen (Supply Chain Management - SCM). Dabei verfolgt Orbis einen durchgängigen Berateransatz von der strategischen und prozessorientierten Beratung über Technologieberatung und Systemintegration bis hin zur Multimediaberatung. Besondere Branchenkompetenz hat das Unternehmen in der Industrie und im Konsumgütersektor. Copyright 2021 facunda financial data GmbH
A0LBFE;mevis_medical_solutions-aktie;Die MeVis Medical Solutions AG entwickelt, vermarktet und vertreibt Software zur Analyse und Auswertung von Bilddaten an Gerätehersteller von medizinischen Geräten, Anbieter von medizinischen IT-Plattformen und klinische Endkunden in den USA und Europa. Die klinischen Schwerpunkte des Unternehmens liegen in der bildbasierten Früherkennung und Diagnose epidemiologisch bedeutsamer Krankheiten wie Brust-, Lungen-, Leber- und neurologischen Erkrankungen. Es bietet Röntgenmodalitäten wie Computertomographie, digitale Mammographie, digitale Tomosynthese, Magnetresonanztomographie und digitale Sonographie an und erbringt Dienstleistungen im Bereich der Softwareprogrammierung für Medizintechnikunternehmen, die die Bereitstellung von Softwareentwicklern, Produkt- und Projektmanagern, Anwendungsspezialisten und Testingenieuren umfassen. Darüber hinaus bietet das Unternehmen dreidimensionale technische Visualisierungen, interaktive Online-Schulungen zur Verbesserung der diagnostischen Fähigkeiten von Klinikern sowie internetbasierte Spezialanwendungen in der Teleradiologie an. Darüber hinaus werden seine Dienste für die technische Visualisierung und das Online-Training genutzt. Das Unternehmen wurde 1992 gegründet und hat seinen Sitz in Bremen, Deutschland. Die MeVis Medical Solutions AG ist eine Tochtergesellschaft der Varex Imaging Deutschland AG.
A0EQ57;helma_eigenheimbau-aktie;Die HELMA Eigenheimbau Aktiengesellschaft bietet eine Reihe von Gebäudedienstleistungen in Deutschland an. Das Unternehmen ist in den Segmenten Haustechnik, Bauträgergeschäft und Sonstige tätig. Das Segment Building Services Business befasst sich mit der Entwicklung, der Planung, dem Verkauf und der Bauleitung von schlüsselfertigen Ein- und Zweifamilienhäusern. Das Segment Bauträgergeschäft befasst sich mit der Entwicklung, der Planung und dem Verkauf von Ferienhäusern und -wohnungen. Darüber hinaus werden in diesem Segment Ein- und Zweifamilienhäuser sowie Reihenhäuser gebaut und mehrgeschossige Wohngebäude errichtet. Das Segment Sonstiges ist im Maklergeschäft für Baufinanzierungen und Versicherungen tätig. Die HELMA Eigenheimbau Aktiengesellschaft wurde 1980 gegründet und hat ihren Sitz in Lehrte, Deutschland.
A12AGY;a_h_t_syngas_technology-aktie;AHT Syngas Technology N.V. ist ein niederländischer Energieversorger. Die Gruppe plant, errichtet und betreut dezentrale Energieanlagen weltweit. Dabei handelt es sich sowohl um mit Biomasse betriebene Container-Lösungen als auch um mittelgroße Stromerzeugungsanlagen. Die Gesellschaft liefert Kompaktanlagen mit einer benötigten elektrischen Leistung von 200 bis 800 kW und errichtet maßgeschneiderte Großanlagen mit elektrischer Leistung bis derzeit 10 Megawatt sowie thermischer Leistung bis 35 Megawatt. Der regionale Schwerpunkt von AHT liegt dabei auf Asien und Europa. Copyright 2021 facunda financial data GmbH
A3CMGM;apontis_pharma-aktie;Die Apontis Pharma AG vermarktet und vertreibt Arzneimittel für die Indikationsgebiete der Inneren Medizin in Deutschland. Das Unternehmen entwickelt, vermarktet und vertreibt ein Portfolio von Einzeltabletten und anderen pharmazeutischen Produkten mit Schwerpunkt auf Herz-Kreislauf-Erkrankungen, wie Bluthochdruck, Hyperlipidämie und Sekundärprävention, sowie Atemwegserkrankungen und Diabetes. Der Hauptsitz des Unternehmens befindet sich in Monheim am Rhein, Deutschland.
A289VV;haemato-aktie;Die HAEMATO AG ist eine Beteiligungsgesellschaft, deren Tochtergesellschaften im Pharmabereich tätig sind. Zum Portfolio gehören die Aktivitäten der Haemato Pharm GmbH, die eine 100%-ige Tochtergesellschaft der HAEMATO AG darstellt. Das Unternehmen ist in Wachstumsmärkten patentfreier und patentgeschützter Wirkstoffe sowie der Herstellung von Medikationen aktiv. Entwickelt werden Therapien für Krebs und HIV sowie chronische Herz-Kreislauf-Störungen, Rheuma und Erkrankungen des Nervensystems. Die Haemato Pharm GmbH ist dabei sowohl auf die Beschaffung von Zulassungen als auch auf die Herstellung und den Vertrieb von Medikamenten spezialisiert und bietet sowohl Generika für bekannte Behandlungskonzepte als auch Markenarzneimittel für neue Therapien, die aus verschiedenen europäischen Ländern importiert werden. Copyright 2021 facunda financial data GmbH
701600;wasgau-aktie;Die Wasgau Produktions & Handels AG ist ein konzernunabhängiges Lebensmittel-Handelsunternehmen. Kern der Handelstätigkeit bilden die WASGAU Super- und Verbrauchermärkte sowie mehrere Cash-und-Carry-Märkte für Gastronomie und Großverbraucher. Die regionalen Schwerpunkte liegen in Rheinland-Pfalz und dem Saarland, im Nordwesten Baden-Württembergs und dem südlichen Hessen. Copyright 2021 facunda financial data GmbH
A0JDBC;limes_schlosskliniken-aktie;Die LIMES Schlosskliniken AG betreibt Privatkliniken für Psychiatrie, Psychotherapie und Psychosomatik. Der Schwerpunkt liegt auf der Behandlung von stressbedingten Erkrankungen sowie von psychischen und emotionalen Störungen wie Depressionen, akutem Burnout, affektiven Störungen und Traumata. Der Hauptsitz des Unternehmens befindet sich in Köln, Deutschland. Die LIMES Schlosskliniken AG ist eine Tochtergesellschaft der GMF Capital Gmbh.
